n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;k_size1;k_size2;act;optim;n_batch;lr;stride_1;stride_2;stride_3;best_val_loss
8;32;32;0.4587661242389375;0.19153331676103796;5;3;relu;rmsprop;4;0.001;2;2;2;0.5892563462257385
8;32;32;0.43150171173149177;0.24992695258870318;5;3;relu;rmsprop;4;0.001;2;2;2;0.5194592475891113
8;32;32;0.47899114876834314;0.11135010777597963;5;3;relu;rmsprop;4;0.001;2;2;2;0.4652820825576782
8;32;32;0.4033211938788542;0.2059358915967413;5;3;relu;rmsprop;4;0.001;2;2;2;0.5066564083099365
8;32;32;0.4992972295264846;0.17181271811668866;5;3;relu;rmsprop;4;0.001;2;2;2;0.3712013363838196
8;16;32;0.43382347558416406;0.26846941624043047;5;3;relu;rmsprop;8;0.001;2;2;2;0.5142072439193726
8;4;32;0.46910107711430227;0.2276733046013253;5;3;relu;rmsprop;4;0.001;2;2;2;0.6082750558853149
8;32;32;0.4889526112590665;0.2195931446277104;5;3;elu;rmsprop;2;0.001;2;2;2;0.6006175875663757
8;4;32;0.3593458596772801;0.13561773631832524;5;3;relu;adam;4;0.001;2;2;2;0.522235095500946
8;32;32;0.4123827430554787;0.12197011169402328;5;5;relu;sgd;4;0.0001;2;2;2;0.9957442283630371
32;4;32;0.38912755401902976;0.16001401667682966;5;3;relu;rmsprop;16;0.001;2;2;2;0.511397123336792
8;32;32;0.45622397328610187;0.17042530106587828;5;3;relu;adam;4;1e-05;2;2;2;0.7640049457550049
32;16;32;0.3999340549791961;0.07937024153321687;5;3;relu;rmsprop;8;0.001;2;2;2;0.5115960836410522
8;4;32;0.44487226230113724;0.14820664495571104;5;3;elu;adam;4;0.001;2;2;1;0.7167561650276184
32;32;32;0.3273704681367452;0.05469988849723814;5;3;relu;rmsprop;4;0.001;2;2;2;0.6004430055618286
8;4;32;0.49887478868474144;0.09634046026551193;5;5;relu;adam;2;0.001;1;2;2;0.5722936391830444
32;32;32;0.420878037521851;0.1956840065383046;5;3;relu;sgd;4;0.0001;2;2;2;0.9996076822280884
8;4;32;0.4782514368971308;0.18320336339591112;5;3;relu;rmsprop;16;0.001;2;1;2;0.7089510560035706
32;32;32;0.4621923762005658;0.2805758903789636;5;3;relu;adam;4;1e-05;2;2;2;1.0007174015045166
8;16;32;0.3476590055307659;0.25850089853981806;5;3;elu;adam;4;0.001;2;2;1;0.5663096904754639
32;4;32;0.45411593257171073;0.30194073318057535;5;3;relu;rmsprop;8;0.001;1;2;2;0.6666771173477173
32;32;16;0.4399746336553599;0.012746392930969158;5;5;relu;adam;4;0.001;2;2;2;0.5648536086082458
8;4;32;0.2964056682687619;0.041428699262891014;5;3;relu;sgd;4;0.0001;2;1;2;0.9984512329101562
32;32;32;0.36490646684036404;0.12827899874192794;5;3;relu;rmsprop;2;0.001;2;2;2;0.4978117346763611
8;4;32;0.41468251981636406;0.1068379480598893;5;3;elu;adam;4;1e-05;2;2;1;0.8418753147125244
32;16;32;0.3823943601151182;0.20199954977693663;5;3;relu;rmsprop;16;0.001;2;2;2;0.5738930106163025
